surface	kind	method	path	family	file	line
hosted	http	GET	/api/admin/audit	admin	backend/src/app/api/admin/audit/route.ts	7
hosted	http	GET	/api/admin/orgs	admin	backend/src/app/api/admin/orgs/route.ts	8
hosted	http	POST	/api/admin/orgs	admin	backend/src/app/api/admin/orgs/route.ts	24
hosted	http	DELETE	/api/admin/orgs/[id]	admin	backend/src/app/api/admin/orgs/[id]/route.ts	81
hosted	http	GET	/api/admin/orgs/[id]	admin	backend/src/app/api/admin/orgs/[id]/route.ts	15
hosted	http	PATCH	/api/admin/orgs/[id]	admin	backend/src/app/api/admin/orgs/[id]/route.ts	57
hosted	http	POST	/api/admin/orgs/[id]/members	admin	backend/src/app/api/admin/orgs/[id]/members/route.ts	27
hosted	http	DELETE	/api/admin/orgs/[id]/members/[userId]	admin	backend/src/app/api/admin/orgs/[id]/members/[userId]/route.ts	38
hosted	http	PATCH	/api/admin/orgs/[id]/members/[userId]	admin	backend/src/app/api/admin/orgs/[id]/members/[userId]/route.ts	12
hosted	http	GET	/api/admin/search	admin	backend/src/app/api/admin/search/route.ts	7
hosted	http	GET	/api/admin/users	admin	backend/src/app/api/admin/users/route.ts	7
hosted	http	PATCH	/api/admin/users/[id]	admin	backend/src/app/api/admin/users/[id]/route.ts	26
hosted	http	GET	/api/admin/users/[id]/licenses	admin	backend/src/app/api/admin/users/[id]/licenses/route.ts	7
hosted	http	DELETE	/api/admin/users/[id]/licenses/[licenseId]	admin	backend/src/app/api/admin/users/[id]/licenses/[licenseId]/route.ts	7
hosted	http	POST	/api/auth/forgot	auth	backend/src/app/api/auth/forgot/route.ts	26
hosted	http	POST	/api/auth/login	auth	backend/src/app/api/auth/login/route.ts	21
hosted	http	POST	/api/auth/login-code/request	auth	backend/src/app/api/auth/login-code/request/route.ts	26
hosted	http	POST	/api/auth/login-code/verify	auth	backend/src/app/api/auth/login-code/verify/route.ts	28
hosted	http	POST	/api/auth/reset	auth	backend/src/app/api/auth/reset/route.ts	22
hosted	http	POST	/api/auth/signup	auth	backend/src/app/api/auth/signup/route.ts	33
hosted	http	GET	/api/automations/list	automations	backend/src/app/api/automations/list/route.ts	12
hosted	http	POST	/api/device/approve	device	backend/src/app/api/device/approve/route.ts	19
